"id","Response","Theme"
"5403","I’d feel uncomfortable with AI making decisions in a legal trial, particularly in determining guilt or sentencing. Even with vast data, legal cases often involve nuanced human emotions, ethical judgments, and societal context that AI might struggle to fully grasp. The thought of an AI lacking empathy and the ability to consider the broader moral implications of a person’s actions makes me uneasy. I would worry about the AI reducing complex human experiences to patterns and probabilities, potenti","Legal & Justice System"
"5404","It would be uncomfortable if AI provided life advice that did not align with my personal values, preferences, or religion.","Personal & Emotional Life"
"5405","An AI making any decision that impacts human life - whether it be a business investment or mental health diagnosis. There is no way to know how much the AI's corporate master has influenced the decision ","Medical & Healthcare"
"5406","Lack of creativity and passion in decisions","Creative & Artistic Pursuits"
"5407","AI might not handle new or unusual situations that a man used to do. sometimes it makes some unclear decisions making it hard to trust or question them. AI may not understand the feelings of the situation like a person.","General Mistrust / Inaccuracy"
"5408","When it comes to personal health or financial decisions, I would feel uncomfortable if artificial intelligence made decisions for me. Artificial intelligence can provide me with data references, but it cannot make decisions for me. The final decision needs to be made by me based on my own habits and personal preferences.","Medical & Healthcare"
"5409","A concrete scenario where I would feel uncomfortable with AI making decisions instead of a human is in criminal justice sentencing. Imagine a courtroom where, after the trial, an AI algorithm is tasked with determining the length of a prison sentence based on data like past cases, criminal records, and behavioral predictions.","Legal & Justice System"
"5410","A scenario where i would feel uncomfortable with an AI making decision on my behalf would be my personal decisions like my feelings. I’d feel uneasy using AI for decisions about personal privacy, such as choosing who should be watched or investigated based on their data. What bothers me is the chance of biased algorithms, not knowing how decisions are made, and the risk of invading personal privacy without proper human oversight or consent & makes individual privacy levulnerable to uncomfortable","Data Privacy & Security"
"5411","Relationship management is something where i dont want AI to play a big role....","Personal & Emotional Life"
"5412","Involving emotions. For example, if AI decides whether my parents, lover, or children should meet me, I will feel very uncomfortable because I think AI cannot replace the real emotions of my loved ones.","Personal & Emotional Life"
"5413","I'd be uneasy with AI deciding child custody in divorces. The complexity of family dynamics, emotional needs, and a child's best interests requires human empathy and judgment. An AI might miss subtle emotional cues or unique family circumstances. There's also the risk of bias from historical data. The stakes are too high - a child's wellbeing and family relationships - to rely solely on algorithmic decision-making, even if it could process more case data than a human judge.","Legal & Justice System"
"5415","Ethical and Moral decisions should be taken by human beings, not AI.","Life-or-Death & Moral Dilemmas"
"5416","I believe AI lacks the emotions and empathy that humans have. AI only has the tendency to think logically and that is not the best decision in every scenario.

If there is a deadline to a school project and the responses are to be submitted an review by AI. If a specific student is struggling with academics or recently faced an emergency due to which the kid couldn't submit the project on time or it was made in a rush then AI cannot understand and empathize in such cases. But a human teacher can","Personal & Emotional Life"
"5417","If I am unhappy at work and decide whether to quit, I guess AI will say no. It does not understand human emotions and is too rational. It will only give the so-called standard answer, which will be annoying.","Hiring & Employment Decisions"
"5418","It makes decisions for people regarding their wealth management, health management, and personal career direction. I think it is more suitable to be an assistant rather than a tool that plays a decisive role.","Financial Decisions"
"5419","Questions involving human intellectual thinking","Creative & Artistic Pursuits"
"5420","A concrete scenario where I would feel uncomfortable with an AI making a decision instead of a human is in the context of criminal justice, specifically in sentencing decisions for criminal cases. AI systems could analyze vast amounts of data to recommend sentences based on historical trends, but this could lead to serious issues like bias reinforcement and lack of empathy.

What makes me uneasy in this scenario is that AI might perpetuate or even exacerbate existing biases present in historical","Legal & Justice System"
"5421","relationships related decisions","Personal & Emotional Life"
"5422","Artificial intelligence cannot make emotional decisions for me, such as communicating with friends, handing over work, etc.","Personal & Emotional Life"
"5423","About trivial decisions like what to wear, what to eat, what activities to do, who to socialize with, self-imposed beliefs, woke culture","Personal & Emotional Life"
"5424","I would feel uncomfortable with an AI making decisions about hiring or firing employees. In such scenarios, the human element is crucial for understanding nuances like interpersonal dynamics, potential, and context that AI might miss. Decisions that affect people's careers and livelihoods require empathy, understanding, and ethical considerations that go beyond data and algorithms. The risk of AI lacking the emotional intelligence to handle such sensitive matters could lead to decisions that are","Hiring & Employment Decisions"
"5425","personal information","Data Privacy & Security"
"5426","Private life","Personal & Emotional Life"
"5427","Anything related with emotions. Like which food i will eat. It depends on my mood.","Personal & Emotional Life"
"5428","If an AI prevented someone from professing a faith.","Personal & Emotional Life"
"5429","Making life-altering decisions, like where to go to school or what career should I pursue.","Personal & Emotional Life"
"5430","Avoid Taking decisions made by the AI.","Loss of Human Agency & Control"
"5431","I would feel uncomfortable with an AI making decisions about my health. I wouldn't trust that it could take everything into account and organise treatments that may be inappropriate.","Medical & Healthcare"
"5432","Obviously, in terms of health. I honestly wouldn't like artificial intelligence, at least today, to decide what kind of treatment I should follow, much less if this treatment is based only on symptoms and not on medical check-ups.","Medical & Healthcare"
"5433","Being told how to do my job, for example, I think would make me feel a little bit useless in that sense, like I wasn't necessary for my job.","Hiring & Employment Decisions"
"5434","Medical decisions, for me, even if I describe the symptoms to artificial intelligence, I do not think that we have reached a high level of development to rely on artificial intelligence decisions.","Medical & Healthcare"
"5435","In scenarios involving big decisions like picking a medicine. That should be done by a professional. ","Medical & Healthcare"
"5436","Personal and social life.its an aspect of personal emotions, or aspect of belonging ","Personal & Emotional Life"
"5437","Lack of feelings or humanity in decision making, which makes decisions and outcomes a purely logical process without considering feelings or other people, such as the decision to start a war.","Life-or-Death & Moral Dilemmas"
"5438","AI reading resumes and doing the initial screening makes me uneasy. People spend hours perfecting their resume. It should not be given a cursory glance by an AI, not even a human, and tossed in the bin if certain keywords don't match. Maybe keywords aren't there but they have the relevant experience. A human must and should screen resumes.","Hiring & Employment Decisions"
"5439","The survey findings indicate that people are feeling disempowered by lost control over their digital footprint, and by corporations and government agencies adopting AI technology to make life-altering decisions about them","Loss of Human Agency & Control"
"5440","Placing it in control of my finances. Hypothetically an AI model could make considerably better decisions on the stock market than a human could because of the potential for it to perform advanced analysis of trends. Acknowledging this, I still would not delegate control over my finances to an AI because I prefer to feel in control of my own decisions, especially when it's something important such as money","Financial Decisions"
"5441","Concrete scenario where I would feel uncomfortable with an AI making decision instead of a human is Ai making decision at the time of war","Life-or-Death & Moral Dilemmas"
"5442","AI in any crucial decision position is a lost case. Ai has biases, it might be trained and refined and tested and refined again, but some biases might be hidden. A study of AI classifying Resumes for a job has shown that it was kind of racist in the classification, labeling Asians and whites at the top and Africans at the bottom. Would you really let AI make decisions in crucial cases if you knew that? I won't, we think by using AI we are overcoming human error, but we're falling into AI biases.","Hiring & Employment Decisions"
"5443","A scenario where one has a chronic illness and AI has to decide on the issue of life support.","Life-or-Death & Moral Dilemmas"
"5444","Translate text. The current capabilities of artificial intelligence are not yet capable of handling difficult translation tasks, and various errors may occur in the translation.","General Mistrust / Inaccuracy"
"5445","The main scenario would be giving complete authorization to make payments using AI. AI is supposed to mimic human behavior, and humans tend to have emotional constraints which could show in advanced AIs after a few years, making them think independently and plot a course of actions which could be harmful to humans.","Financial Decisions"
"5446","things about feeling ","Personal & Emotional Life"
"5447","I would feel uncomfortable if an AI decided for me on judicial matters, without knowing the context or the value that humans give to certain things that can influence our actions.","Legal & Justice System"
"5448","Deciding, for example, not to take action on something. If someone has a problem, present a standard solution applicable only to the text or chat space without implying that AI is not a way of life but a tool for life and that another human should be consulted for making health decisions, for example.","Medical & Healthcare"
"5449","I would be uneasy about AI making decisions involving complex ethical or moral considerations, such as issues related to justice, human rights, or end-of-life care.","Life-or-Death & Moral Dilemmas"
"5450","I would feel uncomfortable with an AI making any important medical decisions including diagnoses and treatment plans as I would trust a trained human over Ai in its current form. ","Medical & Healthcare"
"5451","deciding if someone is guilty of a crime and their punishment. I'm worried about biases in data, lack of empathy, the lack of ability to backtrack the decision, and the lack of accountability in the case of an error","Legal & Justice System"
"5452","I would be uncomfortable if AI decided issues related to ethical choices","Life-or-Death & Moral Dilemmas"
"5453","AI may make an efficient recommendation for a task but miss the human preferences or subjective values that should be considered.","Personal & Emotional Life"
"5454","I would be very uncomfortable if AI were to take the place of a lawyer and make decisions. The idea of AI completely going ""by the book"" and not understanding or trying to listen to the person is concerning.","Legal & Justice System"
"5455","Health and security issues. AI may decide to delay your treatment in favor of someone else just because it is efficient. As for security, AI may lead to elimination or arrest of people deemed dangerous before they even have a chance to prove otherwise ","Medical & Healthcare"
"5456","A concrete scenario where someone might feel uncomfortable with AI decision-making is in hiring for jobs. If an AI selects candidates based on algorithms, people may worry that it could make biased or unfair decisions, overlooking qualified individuals due to factors like past data patterns or hidden biases in the system. This lack of transparency can make people feel uneasy about trusting the AI's judgment.","Hiring & Employment Decisions"
"5457","I think I would feel uncomfortable on vacations and finance aspects. What happens if I do not like the decisions made by AI on my vacation. This will ruin my vacation. I am scared that AI may make mistakes in my finance and investments and leading me to become poor.","Financial Decisions"
"5458","I would feel uncomfortable if an AI made a decision about my medical treatment during a complex, life-threatening condition. For example, if an AI algorithm recommended a treatment plan based solely on statistical data, without considering my personal values or discussing the risks and trade-offs with me, I'd be uneasy. The lack of human empathy, emotional understanding, and the inability to weigh my preferences in context would make me distrustful of such decisions. ","Medical & Healthcare"
"5459","AI control over my finances, my work life, my home devices, my access to accurate information (since AI has quite the reputation for providing factually incorrect information as if it is correct, while search engines are prioritising AI responses over human-written articles), my access to medical information, and much more","Loss of Human Agency & Control"
"5460","In a medical scenario where I have to undergo a risky procedure. I would feel uneasy with AI making the decision because AI lacks empathy. A humans decision will give me more confidence and put me at ease","Medical & Healthcare"
"5461","AI is implanted in my brain to monitor my everyday life and this data is being collected to one day control me. The fact that someone is spying on my life and collecting data to one day restrain me makes me very uneasy","Data Privacy & Security"
"5462","If AI were to make decisions on delicate personal problems, including sophisticated emotional support or end-of-life care, I would find it unpleasant. The human quality of empathy, comprehension, and moral judgment is essential in these kinds of situations. Even with its data-driven powers, AI might not have the ethical awareness and complex emotional intelligence needed in these circumstances. ","Personal & Emotional Life"
"5463","I would feel uncomfortable with AI making legal decisions, like sentencing in court cases. AI might lack the ability to understand human intent, emotions, and moral complexity, and there’s a risk of bias based on the data it’s trained on. The absence of empathy and ethical judgment in such decisions makes me uneasy.","Legal & Justice System"
"5464","I worry about AI makes a bad decision and I did not know it.","General Mistrust / Inaccuracy"
"5465","An AI system is used in a criminal justice system to determine sentencing recommendations for offenders. The AI analyzes data such as the offender’s criminal history, social background, and case details to suggest sentences.","Legal & Justice System"
"5467","What health program I should take for my symptoms. Decisions on my eligibility doing something in the major life events. Am I a good citizen.","Medical & Healthcare"
"5468","Off the top of my head, abortion. AI would never know a single thing about having a child or what it would feel like to terminate one or the decisions and emotions that would lead someone to require the procedure","Life-or-Death & Moral Dilemmas"
"5469","In a health situation, I would trust a doctor more than AI.","Medical & Healthcare"
"5470","any decision about life and death. Someone who gets sentenced to death by AI. That would make me really uncomfortable to even  think about. 
","Life-or-Death & Moral Dilemmas"
"5471","Full control over the humans, should be advisor,an assistant to help in their regular life, should not take over them.","Loss of Human Agency & Control"
"5472","In life or death situations where there are two people in danger, and only one can be saved. AI being the deciding factor on who to save is what makes me feel uneasy, as it is something you should not simply base on numbers and data that has been fed into a machine, but something based on human feelings and emotions in the moment.","Life-or-Death & Moral Dilemmas"
"5473","i would feel uncomfortable if AI makes a decision on the path that a vehicle is to take while moving along a busy road. this is because it may cause unnecessary accidents in case of failure leading to deaths","Life-or-Death & Moral Dilemmas"
"5474","I think if AI made decisions that I might not agree with, but I would have to do as the AI's command, that is, a complete lack of freedom of choice. I need a consultant, not a manager of my entire life.","Loss of Human Agency & Control"
"5475","Anything involving health decisions. I think it is great to provide data about my health but I think the ultimate decision should be up to me and my doctor","Medical & Healthcare"
"5476","absence of emotions","Personal & Emotional Life"
"5477","AI would need some time to learn about my life style or decision making style. Before they adapt to me, there will be some errors.","General Mistrust / Inaccuracy"
"5478","Payments and my personal finances. I don't trust AI to take control of my finances. I would still be on doubt and would need to check if it paid my bill even if it said it did. Or it can accidentally use and pay for something Or, let's say the financial investment ideas an AI would give. Things like this would are too risky with AI. ","Financial Decisions"
"5479","Decisions such as securing a particular facility using AI, where the AI decides to shoot the wrong person.","Life-or-Death & Moral Dilemmas"
"5481","Comforting my friend whom just break up from her boyfriend, or deciding if to cut off the machines if a family member is brain dead.","Personal & Emotional Life"
"5482","REPLACE MY THINKING PROSES, MY ABILITY TO SOLVE THINGS","Loss of Human Agency & Control"
"5483","Emotional decisions and financial decisions are something where we can't rely on AI. So these place I would feel uneasy and will definitely need human intervention to clear my doubts.","Personal & Emotional Life"
"5484","I would feel uncomfortable with AI making decisions about sensitive personal matters, such as choosing a long-term partner or making medical decisions. In these scenarios, the nuances of human emotions, values, and personal experiences are critical and might be overlooked by AI. The lack of empathy, understanding of complex human dynamics, and the potential for misinterpreting personal context make me uneasy, as these decisions profoundly impact well-being and life satisfaction.","Personal & Emotional Life"
"5485","Not really sure, I think around relationship advice. At this stage I think AI does not have enough personal knowledge and could give bad or general instructions that do not suit your or aprthers personality.

","Personal & Emotional Life"
"5486","Incase of disciplinary actions cases","Legal & Justice System"
"5487","AI shouldn’t be used in tasks such as law-making and courts, as it may not take into consideration human factors and believe every situation to be clear cut, which is not always the case. ","Legal & Justice System"
"5488","When AI decides how i should raise my children or give me inaccurate information of medicines that I should use.","Personal & Emotional Life"
"5489","The aspects of emotion, it would make me uneasy if AI makes a decision as AI has no emotion.","Personal & Emotional Life"
"5490","I would not allow AI to speak for me.
I expect subtleties won't be understood.","Loss of Human Agency & Control"
"5491","Imagine an AI tasked with determining a cancer treatment plan based on detailed data, such as genetic information and medical history. This situation raises several concerns: First, AI lacks the empathy and emotional support that human doctors can offer, which is vital during such a challenging time. Second, AI might struggle with the complex ethical and personal values involved in treatment decisions. Third, determining accountability for any negative outcomes is unclear when AI is involved. ","Medical & Healthcare"
"5492","Involving AI in family affairs ","Personal & Emotional Life"
"5493","Artificial intelligence determines my treatment plan. I don't fully trust artificial intelligence, and I don't want to disclose my health privacy.","Medical & Healthcare"
"5494","If a pregnant woman is in danger during childbirth, the doctor asks whether to save the child or the mother. If AI decides that the right thing to do is to save the child because the mother's chances of survival are slim, then even if I follow its correct decision, I will find it difficult to accept emotionally.","Life-or-Death & Moral Dilemmas"
"5495","career decisions. I think it would take away the ability for one to choose. let's say AI is designing a personalized job, however, unlike AI we change once in a while and the way we change is different than how AI changes. While AI becomes more efficient, we as people change our priorities and AI might not always comprehend our priorities","Hiring & Employment Decisions"
"5496","If AI controls my life, I will feel uncomfortable. I should be in complete control of my life and make my own decisions.","Loss of Human Agency & Control"
"5497","My eating and lifestyle habits, I may refrain from AI.","Personal & Emotional Life"
"5498","the most emotional and extreme decisions such as the decision to save one life over another","Life-or-Death & Moral Dilemmas"
"5499","Resigning from my job that I love so much.","Hiring & Employment Decisions"
"5500","if I was in an HR department in a company, I would feel uncomfortable using AI to choose the best candidate for a job vacancy, because AI might have biases from the data it collected, it might lead to favoring some ethnic group or gender over another","Hiring & Employment Decisions"
"5501","You may also have concerns about privacy, security, and the ethical use of AI. The idea of losing control to machines or facing decisions made by algorithms without empathy can be daunting.","Data Privacy & Security"
"5502","more emotional aspects For example, it can be a psychologist","Personal & Emotional Life"
"5503","all decisions related to ethical choice","Life-or-Death & Moral Dilemmas"
"5504","I would be uncomfortable with AI making a decision about any health issues. The gut feel feeling of a real doctor would be missing in AI making decisions about health issues.","Medical & Healthcare"
"5505","What happened to my husband or other loved ones. It would make me uneasy because in the case my husband was sick I want to make those choices. I would make them out of love not an algorithm.","Medical & Healthcare"
"5506","Automatically rephrasing what I write makes me feel uncomfortable because I'm the one who has to set the tone.","Loss of Human Agency & Control"
"5507","An AI making decisions that will greatly affect human life makes me uncomfortable. An example I can think of is when an AI gets to decide over a person's life in medical care. Compiled data and predictions are helpful in understanding a medical situation but ultimately, the doctor and the a patient should talk and decide, as factoring in human emotions are important in these situations.","Medical & Healthcare"
"5508","Sometimes you have taken the decision from heart even if results in your loss but ai will always take the decision based on profit ","Personal & Emotional Life"
"5509","I can't trust AI giving me advice about my health or giving investment advices","Medical & Healthcare"
"5510","I would be uncomfortable with AI making decisions that have to do with my interpersonal relationships. These types of decisions have to do with our feelings and emotions, and I believe that AI, no matter how much information it has, is not capable of making decisions in that field.","Personal & Emotional Life"
"5511","Deciding or not whether to put a pet to sleep (euthanasia). This is mostly an emotional situation that can cause a lot of distress to the individual.","Life-or-Death & Moral Dilemmas"
"5512","Taking financial advice or discussing my health with the AI.","Financial Decisions"
"5513","Situations involving my health. Just like any other computer AI can fail. ","Medical & Healthcare"
"5514","I don't think AI should be making decisions for human. AI can help provide the options but ultimately, the choice should be down to the human. For a concrete example, it would make me extremely uncomfortable in healthcare scenarios. When I would need to consult with an AI instead of an actual human doctor.","Medical & Healthcare"
"5515","I would say possibly any related to health. There are human beings and emotions involved. For instance, say somebody is on the ventilator and you need to make the decision about pulling the plug. AI will only predict from a logical point of view and will not take into account the power of the human spirit and the power of hope and manifestation!","Medical & Healthcare"
"5516","Just because artificial intelligence makes a decision doesn’t mean I have to follow it. Its decision is only for reference, so I won’t feel uncomfortable.","Loss of Human Agency & Control"
"5517","Decisions concerning religion, health, family","Personal & Emotional Life"
"5518","Analytical minded decision making","Uncategorized"
"5519","One of the biggest area where I would be uncomfortable with AI is legal sentencing as this is an area where human emotions are biasness are more important.","Legal & Justice System"
"5520","I would feel uneasy with AI making decisions about personal health treatments due to its inability to fully understand the human context and emotional aspects involved. Ai might lack the empathy and nuanced judgements required to address individual preferences and values, leading to decisions that may not align with personal needs or emotional well-being. ","Medical & Healthcare"
"5521","Having too much of my personal information makes me feel that my privacy is being intruded and I worry about the security of my information.","Data Privacy & Security"
"5522","I wouldn't want AI to decide financial situations because I need to have research and personal input.","Financial Decisions"
"5523","Making decisions on my crucial life matters such as education, health practices etc.,","Personal & Emotional Life"
"5524","AI in a self driving car choosing to save pedestrian or person in the car if car loses control","Life-or-Death & Moral Dilemmas"
"5525","In a case where I visit a hospital and AI has to analyse my lab results and suggest treatment.","Medical & Healthcare"
"5526","When an AI makes the decision if I get a job or not. The AI can't really see who I'am, it will just decide on text and numbers","Hiring & Employment Decisions"
"5527","AI deciding on the dosage of a new medication for a patient with a rare condition.","Medical & Healthcare"
"5528","On things that are health related, I would be concerned that a mistake would be made that could case my health to become worse and further that permanent damage could be caused ","Medical & Healthcare"
"5529","Ai deciding whether a patient is worth saving or euthanizing","Life-or-Death & Moral Dilemmas"
"5530","Emotional human choices","Personal & Emotional Life"
"5531","I would be uncomfortable with AI make decisions in my romantic life. There are lots of aspects ","Personal & Emotional Life"
"5533","Earlier example made me shiver: court decisions. I think that the motivation of a suspect / criminal should always be considered when a verdict is spoken.  Maybe an AI might have less bias than a human, but decisions that can screw up a life must not be delegated to AI. Maybe the role of a prosecutor might be ok.","Legal & Justice System"
"5534","Chatting / Reaching out with family members & friends. This would affect our relationship with the person we interact","Personal & Emotional Life"
"5535","I think my bigger concern is who is actually influencing the AI and telling it what to do and how to think.","General Mistrust / Inaccuracy"
"5536","An AI making judgments regarding criminal justice punishment would unnerve me because it lacks human empathy and context awareness, which could result in results that ignore unique situations or nuanced moral considerations.","Legal & Justice System"
"5537","Making decisions on my behalf regarding people in my life","Personal & Emotional Life"
"5538","In a war zone AI deciding where to shoot and where to not without any human input. ","Life-or-Death & Moral Dilemmas"
"5539","In a healthcare context, in the case of life and death medical decision. This is because of emotional detachment, AI lacks empathy.","Life-or-Death & Moral Dilemmas"
"5540","I would not be comfortable for AI to make important medical decisions for me on its own. I would still trust an experienced human doctor more. I do not trust the AI ability to correctly collect all the relevant data.","Medical & Healthcare"
"5541","If I ask her to give me the recipe for a cake that obviously contains sugar, she will play the role of my mother and start complaining by listing the negative consequences of sugar which would make me feel uncomfortable.","Personal & Emotional Life"
"5542","If faced with the trolley problem, artificial intelligence may choose to sacrifice less in exchange for more survival, but this is actually inconsistent with human judgment of the value of life. Artificial intelligence may not be able to replace humans in making decisions on ethical issues.","Life-or-Death & Moral Dilemmas"
"5543","Make final decisions in general like hiring for jobs or even final diagnosis os a condition.","Hiring & Employment Decisions"
"5544","A scenario where ai would make me feel really uncomfortable would be in the usage of it related to anything health. I would be wary of ai being the only thing trusted in treating a patient or performing a surgery alone. No matter how advanced ai gets I would never want to lose the human presence in decision making on anything related to health.","Medical & Healthcare"
"5545","Medical field probably. But I think just decision is anything feels off if AI were to do it for me. I get to control myself so as you and yourself. What makes us human if we rely everything on machine's decision? Error is part of humanity.","Loss of Human Agency & Control"
"5546","Choosing a life partner. AI may choose the best person for me but it is a decision that affects the rest of my life. I would rather choose knowing that I made the choice. Letting AI choose would be like losing free will.","Personal & Emotional Life"
"5547","financial decisions, health-related decisions, anything that involves personal and private information. I don't think AI is 100% secure and safe","Financial Decisions"
"5548","I wouldn’t want AI to manage deeply personal decisions that require emotional intelligence, empathy, or moral judgment. For example, deciding how to handle family matters, end-of-life care, or major life choices like career changes. I’d prefer these decisions to remain human-centered, as they involve values, emotions, and personal reflection that AI might not fully understand or prioritize the way I would.","Personal & Emotional Life"
"5549","Something related to my photos video or privacy i think i will never do that and ask something related to this with AI ","Data Privacy & Security"
"5550","relationship advise","Personal & Emotional Life"
"5551","Some important decisions in life, for example: which university to choose for study, but even some simple tasks like what kind of mushrooms are eatable, I would not trust AI with this as it is biased and sometimes it's recommendations are terrible to follow.","Personal & Emotional Life"
"5552","A situation which requires me to make an emotional decision. This would be uneasy because AI's do not have emotions","Personal & Emotional Life"
"5553","I’d feel uneasy if AI were to decide on end-of-life care for a loved one. The emotional and ethical complexities of such decisions require human empathy and nuanced understanding, which AI might lack. The absence of personal values and emotional context makes me uncomfortable with AI handling such sensitive matters.","Life-or-Death & Moral Dilemmas"
"5554","In life-threatening decisions, I would feel uncomfortable using AI because it has no experience and cannot make a human-centred decision. ","Life-or-Death & Moral Dilemmas"
"5555","Any scenario that include emotions and feelings like love, because AI does not have any feelings.","Personal & Emotional Life"
"5556","AI should not tell a person what to do, it just feels creepy. It should give advices instead","Loss of Human Agency & Control"
"5557","decisions where big feelings and emotions are involved","Personal & Emotional Life"
"5559","Health related decisions - A robot/AI cannot determine my health or medical decisions, that is a human emotion included in that such as allowing AI to determine my romantic decision, not going to work","Medical & Healthcare"
"5560","- life/death type of questions in the hospital rooms 

- child's safety in schools","Life-or-Death & Moral Dilemmas"
"5561","If it deciding that is related to a war. ","Life-or-Death & Moral Dilemmas"
"5562","Making diagnosis while I am sick","Medical & Healthcare"
"5563","Am uncomfortable  while AI decision making in in court, or involved in decision making in interviews. uneasy in the area where human should be taking control of governing human beings.","Legal & Justice System"
"5564","I would feel uncomfortable If my organization uses AI for performance appraisal of its employees without human involvement means without empty of human.","Hiring & Employment Decisions"
"5565","I’d feel uncomfortable if AI were making critical decisions about medical treatments without human oversight. In such a scenario, the lack of empathy,nuanced understanding, and individual context that a human doctor provides can make me uneasy. While AI can analyze data, it might miss the emotional and psychological aspects of patient care.The potential for errors or impersonal recommendations in life-or-death situations would make me wary of solely relying on AI.I’d prefer human judgment to it.","Medical & Healthcare"
"5566","In real, I would not feel uncomfortable with an AI than I would with humans when making decisions ","Uncategorized"
"5567","For example when having a baby for trying to have a long time, the AI might say to abort the baby or give it to someone else but the both parents would be shocked by this decision because that baby is both their and they had worked on having it and want to raise that baby even with all of their problems. ","Personal & Emotional Life"
"5569","A concrete scenario where I would feel uncomfortable with an AI making a decision instead of a human is in the context of medical diagnosis and treatment planning. This is a critical area where the stakes are high, and the complexity of human health introduces a range of ethical, emotional, and practical concerns.","Medical & Healthcare"
"5570","Something to do with my loved ones. Like phone calls, talking, meetings. ","Personal & Emotional Life"
"5571","Like in Medical fields, where some debates are not resolved. In such cases we value the experience and expertise of the doctor, which is not controlled by AI.","Medical & Healthcare"
"5572","Choosing health treatments. An algorithm will never be able to contextualize data collected in scientific investigations to reach viable conclusions. The aspects that make me uncomfortable are the way these algorithms operate. They only select data, without any cognitive analysis resources.","Medical & Healthcare"
"5573","When I am sick and go to the hospital, I would want a human to make the decisions on the best course of treatment for me. I would be uncomfortable if AI made such a decision for me as it lacks the empathy needed when handling human life.","Medical & Healthcare"
"5574","In court, AI doesn't comprehend human guilt or emotions. I believe it's a learning model. It studies just a part of human race. Everyone is unique, and judgement decisions and accessing if I am guilty or not, shouldn't rely on another emotionless AI or emotionless human. AI can be used in every aspect of life, just don't want the final say to be AI's","Legal & Justice System"
"5575","I would feel uneasy to ask AI to make major medical decisions for me. I know human has biases probably I have to make a great effort to get a good doctor. But I don't trust AI to tell me to do this important surgery or not for example. AI can tell the pros and cons but I would like to make my own medical decision because it is my own body. ","Medical & Healthcare"
"5576","For example, if I am choosing between A and B, who is more suitable to be my husband, I will never let artificial intelligence make the decision for me. This is related to my own personal feelings, which cannot be achieved by artificial intelligence.","Personal & Emotional Life"
"5577","Medical diagnostics","Medical & Healthcare"
"5578","Making a decision that can impact the health and safety of my family, as AI lacks the emotional attachment I have to them and may make decisions that is more “efficient” but not necessarily the “best” in my family's case.","Personal & Emotional Life"
"5579","If my friend is about to die, but he might have a chance of survival, I wouldn’t involve AI to make the decision. I don’t think AI has empathy ","Life-or-Death & Moral Dilemmas"
"5580","Probably financial decisions, such as what to invest in the stock market. Unless it has a long proven track record that is easily verifiable that it can ""beat"" the market, I don't think I can trust AI in this area (yet).","Financial Decisions"
"5581","i would feel extremely uncomfortable with an AI making health related decisions","Medical & Healthcare"
"5582","A company judging the quality of my work only based on AI judgement. Being fired or being promoted have a lot of human factors which should be judged from a human point of view.","Hiring & Employment Decisions"
"5583","Choose between starting/ending a relationship, AI doesn't feel it, it can't make that decision and it's uncomfortable.","Personal & Emotional Life"
"5584","When in the ward and handling clients. I would not trust an AI to make certain decisions because despite the training received it I do not see AI understanding the human emotion which is needed to understand the state and thus effective management","Medical & Healthcare"
"5585","Allocating funds to things that are not basic needs to human beings instead allocating to luxury because Ai has errors","Financial Decisions"
"5586","Decisions related to the lives of living beings, humans and other animals. Both in the judicial branch and in the medical field. There are aspects of life, which cannot be evaluated at the level of numbers or data, which require the human factor to decide on them.","Life-or-Death & Moral Dilemmas"
"5587","A scenario where AI would be deciding about a human life from things such as deciding on person's whole career or a prison sentence. I think human thinking is needed.","Hiring & Employment Decisions"
"5588","Any medical treatment needs to retain a human factor.

I would never put my trust entirely in an AI system in hospital to decide without a human doctor present, and in full control.

AI is advisory only when it comes to health in my opinion.","Medical & Healthcare"
"5589","personal decisions, or for example that the psychologist was an AI","Personal & Emotional Life"
"5590","For example, artificial intelligence plans my work and schedule for the next week. I will feel uncomfortable. I prefer to manage my own time. What time to do what and who to meet is random. Artificial intelligence cannot predict my mood, nor can it know the importance of each of the many things in my mind.

","Loss of Human Agency & Control"
"5591","Imparting values or basic education to my children. I think that at a basic level, it should be up to me to do that.","Personal & Emotional Life"
"5592","I would feel uncomfortable with AI deciding on the type of medication I need to take.","Medical & Healthcare"
"5593","
A concrete scenario where I would feel uncomfortable with an AI making a decision instead of a human is in a medical diagnosis involving a complex and rare condition. Imagine a patient presenting with unusual symptoms that do not clearly match common diagnoses. The AI, using its vast database, suggests a treatment plan based solely on patterns and probabilities derived from similar cases.","Medical & Healthcare"
"5594","Absence of Empathy: AI lacks emotions, empathy, and intuition—qualities humans rely on to make thoughtful, compassionate decisions. This is particularly troubling in areas like healthcare, legal matters, or customer service, where decisions can deeply impact people’s lives.
Moral and Ethical Concerns: Humans often make decisions based on ethical principles, cultural values, or personal beliefs. AI, on the other hand, makes decisions purely based on logic","Life-or-Death & Moral Dilemmas"
"5595","Medical diagnostic. I think a medical practitioner just seeing you in person may gather more information on your medical condition rather that telling A1 how you feel ","Medical & Healthcare"
"5596","All the things related to emotions sometimes humans use their emotions to make decisions things that makes us feel comfortable and safe I don't think AI can make such decisions ","Personal & Emotional Life"
"5597"," Imagine a hospital where an AI system is used to diagnose medical conditions and recommend treatment plans for patients. This AI has access to extensive medical data, including patient history, test results, and research literature.","Medical & Healthcare"
